카테고리,이름,구독자 수,조회수,영상 수
[애완/반려동물],수리노을SuriNoel,206만,7억0677만,"1,036"
[음악/댄스/가수],OfficialGDRAGON,205만,5364만,0
[교육/강의],디바제시카DeevaJessica,204만,8억3852만,"2,939"
[음악/댄스/가수],The K-POP,203만,5억7300만,"7,342"
[TV/방송],퇴경아 약먹자,203만,3억3470만,653
[TV/방송],보길 bogil,200만,7억9311만,"1,098"
[키즈/어린이],"토닥토닥 꼬모 - 애니메이션, 동요, 놀이",200만,23억2460만,829
[키즈/어린이],캐리TV 장난감친구들,200만,26억3854만,"2,661"
[키즈/어린이],[wonderkids TV] 원더키즈 TV,198만,8억7308만,918
[음식/요리/레시피],흥삼이네 Heungsam's Family,198만,9억8349만,"1,371"
[키즈/어린이],Toy Wizard [토이위자드],197만,7억2113만,643
[교육/강의],올리버쌤,197만,4억8588만,610
[음악/댄스/가수],헨리 Henry Lau,195만,1억6354만,170
[게임],잠뜰 TV,195만,24억5450만,"2,793"
[음악/댄스/가수],woolliment,193만,7억3980만,750
[음악/댄스/가수],EXID_OFFICIAL,192만,6억3874만,332
[음식/요리/레시피],JerryPop,192만,6억8827만,414
[미분류],THEBLACKLABEL,191만,3억0656만,75
[음악/댄스/가수],CHEN,191만,3075만,10
[키즈/어린이],뉴욕이네 (뉴욕이랑 놀자),191만,8억5836만,702
[음식/요리/레시피],도남이먹방Donam,190만,6억0841만,792
[미분류],GoogleDoodles,189만,4억0915만,104
[교육/강의],The World of Dave데이브,189만,4억4963만,627
[애완/반려동물],밀키복이탄이MilkyBokiTan,188만,5억4392만,355
[TV/방송],tvN D STUDIO,186만,5억3421만,980
[IT/기술/컴퓨터],ITSub잇섭,185만,5억6026만,785
[음악/댄스/가수],셀프어쿠스틱selfacoustic,180만,4억1356만,150
[TV/방송],아는형님 Knowingbros,179만,7억1897만,"1,353"
[음악/댄스/가수],ARIRANG K-POP,178만,7억1151만,"27,663"
[뉴스/정치/사회],SBS 뉴스,178만,26억7252만,"111,308"
[음식/요리/레시피],ASMR Suna 꿀꿀선아,178만,4억2034만,320
[뉴스/정치/사회],채널A,177만,20억3123만,"21,556"
[키즈/어린이],Dollightful,176만,2억6800만,146
[게임],악동 김블루,176만,9억6472만,757
[키즈/어린이],꾹TV(Kkuk TV),176만,10억1969만,"1,369"
[음식/요리/레시피],FoodieBoy 푸디보이,175만,6억1868만,"1,118"
[취미/라이프],Imaginative Guy,174만,5억5205만,109
[스포츠/운동],Allblanc TV,173만,1억8778만,328
[음악/댄스/가수],A-YEON,173만,2억0239만,58
[음악/댄스/가수],DAY6,173만,2억4371만,329
[음악/댄스/가수],BTOB 비투비 (Official YouTube Channel),172만,3억9587만,493
[음식/요리/레시피],입짧은햇님,172만,6억6384만,"2,438"
[IT/기술/컴퓨터],밝은 면 Bright Side Korea,172만,4억4458만,"3,202"
[뉴스/정치/사회],JTBC News,171만,24억0966만,"116,553"
[BJ/인물/연예인],보물섬,171만,10억8495만,435
[음악/댄스/가수],비몽,170만,8억9290만,"4,577"
[음악/댄스/가수],MLD ENTERTAINMENT,170만,6억5590만,573
[패션/미용],Wishtrend TV,169만,1억4266만,815
[게임],양띵 유튜브,169만,18억8500만,"7,241"
[애완/반려동물],내셔널지오그래픽 - National Geographic Korea,168만,7억2262만,"2,997"
[패션/미용],조효진 HYOJIN,167만,1억5752만,296
[음악/댄스/가수],loonatheworld,166만,5억8016만,"1,013"
[게임],대도서관TV (buzzbean11),166만,14억1901만,"9,316"
[영화/만화/애니],고몽,166만,6억8937만,445
[TV/방송],dingo freestyle,166만,9억2007만,919
[애완/반려동물],슈앤트리 SHU AND TREE,165만,3억5171만,348
[교육/강의],슈카월드,164만,2억3777만,898
[음식/요리/레시피],슈기님,163만,6억2926만,"1,414"
[키즈/어린이],캐릭온 TV,162만,17억1814만,740
[음식/요리/레시피],HONG SOUND,162만,3억7223만,994
[음악/댄스/가수],GOT7,160만,2026만,3
[패션/미용],Leesuhyun,160만,7241만,101
[BJ/인물/연예인],더블비,160만,9억1868만,449
[TV/방송],콬TV,160만,5억2866만,743
[영화/만화/애니],짤툰,159만,7억9880만,387
[음악/댄스/가수],DJ SODA OFFICIAL,159만,2억2022만,153
[스포츠/운동],SPOTV,159만,13억2996만,"40,087"
[게임],뜨뜨뜨뜨,159만,7억1684만,"1,443"
[음식/요리/레시피],최고다윽박EUGBAK,159만,8억5551만,"1,532"
[음악/댄스/가수],PENTAGON 펜타곤 (Official YouTube Channel),157만,2억1489만,361
[음악/댄스/가수],OfficialLEEHI,157만,3억2933만,94
[키즈/어린이],덕대-DD film,157만,7억4243만,"1,591"
[주식/경제/부동산],신사임당,156만,2억0333만,966
[음악/댄스/가수],NU'EST,156만,2억2776만,610
[뉴스/정치/사회],EBSCulture (EBS 교양),155만,11억6418만,"41,161"
[음악/댄스/가수],THE BOYZ,154만,2억5226만,482
[음악/댄스/가수],버블디아,153만,3억9983만,"1,190"
[TV/방송],조재원,153만,3억9160만,273
[음식/요리/레시피],Chihun ASMR 치훈,152만,2억6003만,397
[키즈/어린이],Edu car toy school,152만,7억8972만,"1,261"
[키즈/어린이],유라야놀자(Let's play YURA),152만,15억7743만,"1,396"
[패션/미용],ssin 씬님,152만,4억3620만,689
[미분류],GH'S,151만,6억9227만,95
[TV/방송],KBS 한국방송,151만,14억0510만,"28,069"
[음식/요리/레시피],ETTV 이티티비,151만,6억3598만,"1,017"
[키즈/어린이],지니키즈 Genikids (인기 동요・동화),151만,11억7661만,"1,209"
[게임],태경 TV,151만,21억7370만,"2,512"
[게임],김재원의 즐거운 세상,151만,16억0236만,"1,786"
[음악/댄스/가수],DOJIN도진이,150만,7845만,47
[뉴스/정치/사회],MBCNEWS,150만,33억8358만,"115,414"
[TV/방송],문명특급 - MMTG,149만,3억0825만,227
[키즈/어린이],브라보키즈_BRAVO KIDS,149만,15억3613만,"1,755"
[주식/경제/부동산],삼프로TV_경제의신과함께,149만,3억9897만,"5,344"
[TV/방송],MBN Entertainment,147만,14억7139만,"36,196"
[음식/요리/레시피],승우아빠,147만,4억1443만,584
[음악/댄스/가수],Daily Busking,147만,5억8557만,966
[음식/요리/레시피],[Nareum_TV] 나름TV,147만,5억2943만,792
[영화/만화/애니],지무비 : G Movie,147만,4억9623만,236
[BJ/인물/연예인],웃소 Wootso,146만,13억4558만,681
[음악/댄스/가수],FNCEnt,145만,3억0212만,"1,427"
[음악/댄스/가수],Chuther츄더[문에스더],145만,1억9743만,139
[뉴스/정치/사회],진성호방송,145만,16억7888만,"7,672"
[음식/요리/레시피],ARIKITCHEN (아리키친),145만,3억4486만,444
[뉴스/정치/사회],KBS Drama Classic,144만,13억1976만,"9,413"
[게임],T1 Faker,144만,2억6333만,"1,196"
[TV/방송],"안구정화TV, Your Korean Friend",144만,1억1528만,158
[취미/라이프],피식대학Psick Univ,143만,3억5080만,368
[뉴스/정치/사회],디글 클래식 :Diggle Classic,143만,32억9858만,"22,193"
[음악/댄스/가수],Lemoring,143만,7억7573만,486
[BJ/인물/연예인],혜리,142만,7019만,66
[음식/요리/레시피],칩chip,142만,1억8876만,36
[뉴스/정치/사회],신의한수,142만,11억3241만,"8,346"
[BJ/인물/연예인],[상윤쓰]Sangyoon,141만,2억7430만,147
[음악/댄스/가수],K-Tigers TV,141만,2억0225만,458
[음식/요리/레시피],엠브로 MBRO,141만,0,0
[음악/댄스/가수],시즌비시즌 Season B Season,140만,1억3719만,54
[TV/방송],동네놈들,140만,3억0128만,273
[BJ/인물/연예인],급식왕,140만,15억4854만,627
[BJ/인물/연예인],철구형 (CHULTUBE),140만,12억7716만,"6,891"
[애완/반려동물],[THE SOY]루퐁이네,139만,4억0333만,315
[TV/방송],MKTV 김미경TV,139만,2억5782만,"1,624"
[TV/방송],Solfa,139만,2억1251만,49
[TV/방송],KBS HUMAN: 뭉클티비,138만,7억0149만,"3,388"
[교육/강의],사물궁이 잡학지식,138만,2억1918만,278
[음악/댄스/가수],AOMGOFFICIAL,137만,2억8276만,333
[BJ/인물/연예인],NALU,137만,1억0230만,153
[뉴스/정치/사회],SBS STORY,136만,17억1299만,"78,745"
[음악/댄스/가수],워너뮤직코리아 (Warner Music Korea),136만,7억7589만,"2,405"
[음악/댄스/가수],BEAST 비스트 (Official YouTube Channel),136만,5억8172만,118
