카테고리,이름,구독자 수,조회수,영상 수
[애완/반려동물],Arirang은 고양이들내가 주인,56만,1억6574만,381
[TV/방송],쌈바홍 ssambahong,56만,4109만,197
[미분류],[에일리 OFFICIAL] aileemusic,56만,8354만,112
[음악/댄스/가수],INFINITE,56만,3911만,158
[뉴스/정치/사회],쓸모왕,56만,4억1520만,657
[패션/미용],다영 DAYEONG,56만,7586만,354
[키즈/어린이],캐리TV 주니어,56만,6억2418만,"1,423"
[음식/요리/레시피],[Flower pig]꽃돼지,56만,1억9336만,"1,190"
[키즈/어린이],Clevr TV [클레버티비],56만,5억3285만,"1,769"
[취미/라이프],TAU,56만,3억4572만,103
[미분류],근황올림픽,56만,2억5767만,238
[TV/방송],석준이가해,56만,1억2577만,214
[음식/요리/레시피],정육왕 MeatCreator,56만,1억2774만,417
[음악/댄스/가수],TVXQ!,56만,3269만,70
[음악/댄스/가수],Reynah,55만,1억4538만,245
[음악/댄스/가수],온스테이지ONSTAGE,55만,2억3162만,"2,330"
[미분류],김흥미,55만,2억2006만,473
[음악/댄스/가수],Trouble Maker (Official YouTube Channel),55만,1억8546만,9
[미분류],규티비 KYUHYUN,55만,2150만,74
[영화/만화/애니],뭅뭅,55만,3억1712만,"3,192"
[패션/미용],아옳이,55만,9305만,152
[미분류],또모TOWMOO,55만,1억3307만,191
[미분류],Super K-슈퍼개미김정환,55만,5020만,447
[미분류],드립팩토리 [Dlib Factory],55만,1억8164만,174
[미분류],일주어터,55만,9263만,149
[뉴스/정치/사회],국방TV,55만,5억0417만,"11,174"
[BJ/인물/연예인],sojoong쏘야쭝아,55만,1억3710만,222
[미분류],에버랜드 - EVERLAND,55만,1억6778만,"1,979"
[음악/댄스/가수],달마발 Darlim&Hamabal,55만,1억3695만,157
[음악/댄스/가수],Mellowbeat Seeker,55만,824만,131
[BJ/인물/연예인],카페노예 jun,55만,3815만,76
[교육/강의],수린 suzlnne,55만,4230만,129
[교육/강의],Conversational Korean,55만,1522만,335
[취미/라이프],샬이 Shal.E,54만,2153만,60
[패션/미용],LeoJ Makeup,54만,7556만,254
[TV/방송],J.Y. Park,54만,8811만,90
[게임],꿀탱탱,54만,3억3841만,"2,514"
[패션/미용],DAISY 데이지,54만,4463만,139
[음악/댄스/가수],Flow Music,54만,1억1365만,490
[영화/만화/애니],소개해주는 남자,54만,1억6368만,223
[패션/미용],디렉터 짱구대디,54만,1억6924만,"1,725"
[미분류],Melon 멜론,54만,6745만,223
[뉴스/정치/사회],서울의소리 Voice of Seoul,54만,2억4436만,"7,542"
[TV/방송],레이디액션,54만,2억6535만,355
[미분류],BODA 보다,54만,2억5054만,731
[게임],자몽티비,54만,5억0191만,"2,059"
[미분류],free지아,54만,8458만,188
[게임],글자네 YouTube,54만,4억8352만,"3,179"
[애완/반려동물],아리둥절 Ari the Corgi,53만,1억5061만,234
[BJ/인물/연예인],풍자테레비,53만,2억3737만,"1,636"
[게임],프레이 TV,53만,2억6977만,"1,160"
[게임],빅헤드,53만,3억0370만,"3,468"
[음악/댄스/가수],DanalEntertainment,53만,2억8953만,"9,242"
[미분류],유이뿅YUIPYON,53만,1억3369만,303
[TV/방송],오마르의 삶,53만,8529만,416
[BJ/인물/연예인],Korean Studio,53만,4721만,171
[TV/방송],오예커플스토리,53만,8844만,156
[교육/강의],동심파괴,53만,1억4410만,361
[취미/라이프],희철리즘Heechulism,53만,1억3598만,252
[뉴스/정치/사회],뉴스타운TV,53만,1억2533만,"4,573"
[음식/요리/레시피],스튜디오 쿠캣 - COOKAT,53만,2억0837만,"1,682"
[교육/강의],1등 미디어,53만,2억3632만,492
[TV/방송],스튜디오V [ STUDIO V ],53만,1억5670만,320
[미분류],시니어전성시대,53만,6141만,145
[뉴스/정치/사회],Arirang News,53만,2억3780만,"123,984"
[TV/방송],joanday,53만,6851만,629
[뉴스/정치/사회],여수MBC Music+(Kpop&Trot),53만,3억3597만,"11,954"
[BJ/인물/연예인],박서아TV,53만,9928만,306
[게임],똘킹,53만,3억8887만,"1,829"
[미분류],AB6IX,53만,3227만,263
[영화/만화/애니],supershinstudio,53만,3억8390만,"7,779"
[TV/방송],Ripple_S,53만,3억0130만,714
[취미/라이프],미니유 Miniyu ASMR,53만,2억2361만,728
[뉴스/정치/사회],KBS KONG,52만,2억0408만,"6,645"
[음식/요리/레시피],PRUMIR,52만,1억1154만,448
[미분류],조여사전성시대,52만,9870만,428
[미분류],Everton Football Club,52만,1억4374만,"2,485"
[음악/댄스/가수],Mina's TV 미나네TV,52만,2103만,136
[BJ/인물/연예인],Mr.아재 [Mr.Ajae],52만,1억3439만,303
[TV/방송],KBS 1라디오,52만,1억8897만,"10,373"
[취미/라이프],공구왕황부장,52만,1억0549만,445
[미분류],햄튜브,52만,2억8121만,"1,110"
[키즈/어린이],오콘키즈,52만,6억9450만,"1,009"
[게임],방앗간 비둘기,52만,3억3496만,"4,296"
[음악/댄스/가수],Dragon Stone,52만,3232만,148
[음식/요리/레시피],영자씨의 부엌Young-Ja's Kitchen,52만,1억0839만,905
[음식/요리/레시피],창배먹방 chang_bae,52만,2억4255만,"1,283"
[IT/기술/컴퓨터],MR엠알,52만,7656만,348
[TV/방송],KBS동물티비 : 애니멀포유 animal4u,52만,3억2608만,"1,459"
[TV/방송],상현아웃겨줘parksanghyun,52만,1억7786만,398
[미분류],복지마블TV [Welfare Marble],51만,5021만,242
[게임],OGN,51만,6억0888만,"27,433"
[미분류],밉지않은 관종언니,51만,6795만,170
[게임],미소,51만,2억1078만,"3,084"
[음식/요리/레시피],Muggo,51만,1억8372만,"1,388"
[게임],임선비,51만,2억3429만,"1,134"
